;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CATEGORY;2025 Demand;2026 Demand;2027 Demand;;;;
Product Line;Equipment;Type;2025 - Demand (Volumes);;;;;;;;;;;;2026 - Demand (Volumes);;;;;;;;;;;;2027 - Demand (Volumes);;;;;;;;;;;;;;;;;;;;;;;;;;;;;O&R RISER FIRM;83;64;38;;;;
;;;January-25;February-25;March-25;April-25;May-25;June-25;July-25;August-25;September-25;October-25;November-25;December-25;January-26;February-26;March-26;April-26;May-26;June-26;July-26;August-26;September-26;October-26;November-26;December-26;January-27;February-27;March-27;April-27;May-27;June-27;July-27;August-27;September-27;October-27;November-27;December-27;;;;;;;;;;;;;;;;;;O&R RISER RISK RELEASE;0;0;0;;;;
;Riser QTR-3500 (Batch 5J);Firm;6150;9430;2200;1980;0;880;2730;4400;9690;2050;4020;180;3216;2673;2673;3597;0;3069;0;0;2277;4950;429;858;0;0;0;0;0;0;0;0;0;0;0;0;;Pressure Control Firm;6500;10302;6669;5129;7360;4152;556;0;0;0;0;0;0;;;;;;;;;;
;;Risk Release;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Topside Firm;1807;7999;5622;7135;3171;3268;586;0;0;0;0;0;0;;;;;;;;;;
;;Forecast;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Offshore & Other Firm;1700;1540;2620;2604;1310;1140;260;0;0;0;0;0;0;;;;;;;;;;
;Riser LK 3.5 (Batch 5J);Firm;2491;1024;0;0;0;0;100;0;510;510;240;60;0;0;180;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Riser Risk Release;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
;;Risk Release;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Pressure Control Risk Release;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
;;Forecast;0;0;0;0;0;0;0;0;0;0;0;0;0;0;300;0;0;0;4800;950;2500;7300;950;2500;0;0;0;0;0;0;0;0;0;0;0;0;;Topside Risk Release;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Topside;DDM;Firm;864;864;864;864;0;672;672;672;472;250;150;20;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Offshore & Other Risk Release;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
;;Risk Release;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Riser Forecast;0;0;0;0;0;300;0;8251;10751;0;0;0;0;;;;;;;;;;
;;Forecast;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;700;700;0;333;333;333;0;700;700;250;250;583;583;583;250;0;0;0;0;0;0;;Pressure Control Forecast;0;0;0;0;0;1251;3920;4344;2609;1500;1000;0;0;;;;;;;;;;
;Dolly;Firm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Topside Forecast;0;0;0;0;0;1682;6560;3325;2117;1083;833;0;0;;;;;;;;;;
;;Risk Release;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Offshore & Other Forecast;0;0;0;0;0;840;1390;1980;1980;0;0;0;0;;;;;;;;;;
;;Forecast;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;HMH Capacity;20235;24156;19791;21494;21112;19631;16261;17830;20042;20091;20091;22022;22022;;;;;;;;;;
;BRC Gripper Head;Firm;0;147;293;293;198;310;310;110;200;800;330;523;330;390;330;146;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Contractors;32379;33660;28979;32505;38466;37136;21901;22617;26774;20091;#N/A;#N/A;#N/A;;;;;;;;;;
;;Risk Release;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Vacation;6165;5412;8791;5314;4020;4642;7600;8500;4642;2662;2662;2662;2662;;;;;;;;;;
;;Forecast;0;0;0;0;0;0;0;0;0;0;0;0;0;0;323;623;923;300;416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;HMH;0;56;56;56;56;55;55;55;55;55;55;55;55;;;;;;;;;;
;LGA Guide Head;Firm;0;0;0;0;0;0;0;0;0;0;249;249;180;180;138;140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Contractos;0;18;18;23;39;40;13;10;15;0;#N/A;#N/A;#N/A;;;;;;;;;;
;;Risk Release;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Dias Uteis;0;60;58;64;60;59;58;64;60;60;60;60;60;;;;;;;;;;
